Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Deck Boat,Yamarin power boats,new boat from stock,2020,6.25,2.3,GRP,107,Germany,24772.000000000004
Bowrider,Nordkapp power boats,new boat from stock,2017,6.06,2.2,GRP,109,Germany,26004.000000000004
Sport Boat,Regal power boats,"Used boat,Unleaded",2001,5.78,2.5,GRP,483,Switzerland,3825.0
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,4.54,1.85,GRP,84,Germany,25883.000000000004
Trawler,Cascaruda power boats,Diesel,1982,9.3,3.0,Steel,164,Germany,25850.000000000004
Pilothouse,Nidelv power boats,"Used boat,Diesel",1988,8.66,3.04,GRP,507,Switzerland,3750.0
Sport Boat,Windy power boats,"Used boat,Unleaded",1997,7.85,2.54,GRP,771,Switzerland,3750.0
Sport Boat,Wellcraft power boats,Used boat,1992,8.35,2.5,GRP,420,Switzerland,3750.0
Classic,Schneiter power boats,Used boat,1965,6.0,1.9,Wood,284,Switzerland,3750.0
Fishing Boat,The Captains power boats,new boat on order,2020,6.6,1.85,GRP,888,Switzerland,3750.0
Deck Boat,AMT power boats,new boat from stock,2019,5.6,2.25,GRP,84,Germany,25619.000000000004
Offshore Boat,Bruno Abbate power boats,"Used boat,Unleaded",1995,9.25,2.65,GRP,273,Switzerland,3735.0
Sport Boat,Faeton power boats,"Used boat,Unleaded",2006,7.3,2.75,GRP,485,Switzerland,3898.5
Cabin Boat,Nidelv power boats,"Used boat,Unleaded",1995,7.5,2.5,GRP,607,Switzerland,3900.0
Sport Boat,Windy power boats,"Used boat,Unleaded",1990,7.55,2.51,GRP,187,Switzerland,3900.0
Fishing Boat,ERC power boats,new boat from stock,2020,5.3,2.0,GRP,198,Switzerland,3892.5
Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2005,7.2,2.53,PVC,99,France,26400.000000000004
Motor Yacht,Marex power boats,"Used boat,Diesel",1984,7.68,2.78,GRP,90,Germany,26400.000000000004
Pilothouse,Jeanneau power boats,"Used boat,Diesel",1989,7.5,2.9,PVC,104,France,26400.000000000004
Pilothouse,Bayliner power boats,"Used boat,Unleaded",2006,7.26,2.59,PVC,87,France,26400.000000000004
"Classic,Pontoon Boat",Piantoni power boats,"Used boat,Unleaded",1968,5.65,2.05,Wood,143,Italy,26400.000000000004
Pontoon Boat,Sciallino power boats,"Used boat,Diesel",1987,7.5,2.45,GRP,87,Italy,26400.000000000004
"Classic,Motor Yacht",Storebro power boats,"Used boat,Unleaded",1961,7.25,2.25,Wood,199,Germany,27390.000000000004
Motor Yacht,IMP Boats power boats,"Used boat,Unleaded",1990,8.0,2.5,GRP,84,Germany,27390.000000000004
Sport Boat,Viko power boats,"Used boat,Unleaded",2017,6.1,2.5,GRP,138,Germany,27390.000000000004
Pontoon Boat,Cantieri Nautici Ferrario power boats,new boat from stock,2018,6.5,2.4,GRP,110,Italy,27390.000000000004
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.05,2.42,GRP,69,Italy,27390.000000000004
Cabin Boat,Formula power boats,"Used boat,Unleaded",1995,8.61,2.9,GRP,93,Spain,27390.000000000004
Water ski,Correct Craft power boats,"Used boat,Unleaded",1995,5.0,2.0,GRP,260,Germany,27390.000000000004
Motor Yacht,Bella power boats,Used boat,2008,6.5,2.42,GRP,119,Croatia,27390.000000000004
"Motor Yacht,Sport Boat,Trawler",Sea Ray power boats,"Used boat,Unleaded",1996,8.9,2.9,GRP,605,Italy,27390.000000000004
Sport Boat,Faeton power boats,"Used boat,Unleaded",2002,7.39,2.66,GRP,100,Germany,27390.000000000004
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,7.07,2.78,PVC,161,France,27390.000000000004
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.05,2.42,GRP,48,Switzerland,27390.000000000004
Sport Boat,Gobbi power boats,"Used boat,Unleaded",1998,7.5,2.5,GRP,100,Italy,27500.000000000004
Pilothouse,Jeanneau power boats,"Used boat,Diesel",2007,6.66,2.64,PVC,103,France,27500.000000000004
Bowrider,Glastron power boats,"Used boat,Unleaded",2007,6.0,2.0,PVC,287,Portugal,27500.000000000004
Flybridge,Dellapasqua power boats,"Used boat,Unleaded",1996,8.22,2.99,GRP,169,Italy,27500.000000000004
Sport Boat,Colombo power boats,"Used boat,Unleaded",1986,6.4,2.2,GRP,181,Italy,27500.000000000004
Sport Boat,Saver power boats,Used boat,2001,7.45,2.64,GRP,94,Italy,27500.000000000004
Sport Boat,Bayliner power boats,Used boat,1991,9.81,3.41,GRP,197,Slovenia,27500.000000000004
Cabin Boat,Scand power boats,Used boat,1983,7.62,2.8,GRP,160,Netherlands,27500.000000000004
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,7.65,2.5,GRP,271,Italy,27500.000000000004
Launch,Campion power boats,"Used boat,Unleaded",2001,7.38,2.62,GRP,170,Spain,27500.000000000004
Flybridge,Raffaelli power boats,"Used boat,Diesel",1979,10.6,3.6,GRP,231,Italy,27500.000000000004
"Cabin Boat,Motor Yacht",Sea Ray power boats,"Used boat,Unleaded",1996,8.05,2.59,Plastic,1136,Switzerland,4200.0
Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1995,8.05,2.59,GRP,278,Germany,28490.000000000004
Fishing Boat,Trophy power boats,"Used boat,Unleaded",2008,7.14,2.57,GRP,195,Slovenia,28490.000000000004
Center console boat,Bayliner power boats,"new boat from stock,Unleaded",2018,6.0,2.0,PVC,80,France,28490.000000000004
Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,9.9,9.9,GRP,140,Germany,28490.000000000004
Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1987,8.26,2.57,GRP,321,Germany,28490.000000000004
Sport Boat,Regal power boats,"Used boat,Unleaded",2007,6.7,2.5,PVC,165,France,28490.000000000004
Motor Yacht,Draco power boats,"Used boat,Diesel",1991,6.77,2.28,GRP,187,Germany,28490.000000000004
Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1995,7.6,2.59,GRP,217,Germany,28490.000000000004
Pontoon Boat,Saver power boats,new boat from stock,2020,6.6,2.45,GRP,94,Italy,29480.000000000004
Pilothouse,Drago Boats power boats,"new boat from stock,Unleaded",2017,5.1,2.13,GRP,138,Switzerland,4335.0
Center console boat,Morningstar power boats,"new boat from stock,Unleaded",2019,4.98,2.0,Aluminium,173,Switzerland,4335.0
Water ski,Nautique power boats,"Used boat,Unleaded",1996,2.32,5.6,GRP,205,Switzerland,4335.0
Center console boat,Morningstar power boats,new boat from stock,2019,5.0,2.0,Aluminium,158,Switzerland,4335.0
Cabin Boat,Galaxy power boats,"Used boat,Unleaded",1990,8.1,2.45,GRP,654,Switzerland,4335.0
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.4,GRP,97,Italy,29370.000000000004
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.4,GRP,137,Switzerland,29370.000000000004
Deck Boat,Sessa power boats,new boat from stock,2020,6.1,2.33,GRP,224,Italy,29282.000000000004
Bowrider,Clear power boats,"Used boat,Unleaded",2014,6.15,2.2,GRP,549,Switzerland,4275.0
Bowrider,Bella power boats,Display Model,2018,5.3,2.2,GRP,198,Switzerland,4305.0
Center console boat,Jeanneau power boats,new boat from stock,2020,6.77,2.48,GRP,55,Germany,29190.7
Fishing Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.6,1.85,Aluminium,191,Switzerland,4425.0
Motor Yacht,Quicksilver power boats,"Used boat,Unleaded",2018,5.47,2.29,GRP,304,Rolle,4425.0
Cabin Boat,Carver power boats,"Used boat,Unleaded",1996,8.43,2.62,GRP,276,Switzerland,4425.0
Motor Yacht,Windy power boats,"Used boat,Unleaded",1989,9.1,3.0,GRP,457,Switzerland,4425.0
Hardtop,Bella power boats,"Used boat,Diesel",2002,6.3,2.25,Plastic,973,Switzerland,4425.0
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.07,2.12,GRP,56,Germany,29832.000000000004
Fishing Boat,Smartliner power boats,new boat from stock,2020,6.28,2.24,GRP,228,Switzerland,4380.0
Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,9.8,3.3,GRP,128,Germany,29700.000000000004
Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1992,9.5,3.29,GRP,120,Italy,29700.000000000004
Working Boat,Viking power boats,new boat from stock,2020,7.52,2.43,Aluminium,227,Germany,30690.000000000004
Sport Boat,Sting power boats,new boat from stock,2016,6.08,2.37,GRP,111,Germany,30690.000000000004
Pilothouse,Marinello power boats,new boat from stock,2018,6.5,2.48,GRP,308,Germany,30690.000000000004
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.05,2.4,GRP,41,Italy,30690.000000000004
Motor Yacht,Doral power boats,"Used boat,Unleaded",1991,8.25,2.89,GRP,131,Netherlands,30690.000000000004
Sport Boat,Sunseeker power boats,"Used boat,Diesel",1992,8.78,2.75,GRP,377,Germany,30690.000000000004
Cabin Boat,Bella power boats,"Used boat,Diesel",2007,7.05,2.47,GRP,294,Germany,30690.000000000004
"Classic,Sport Boat,Water ski",Boesch power boats,"Used boat,Unleaded",1983,5.7,2.2,Wood,511,Switzerland,4485.0
Offshore Boat,Seebold power boats,"Used boat,Unleaded",1992,7.75,2.48,GRP,359,Switzerland,4485.0
Sport Boat,Nidelv power boats,"Used boat,Diesel",2001,6.1,2.3,GRP,385,Switzerland,4650.0
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2020,6.43,2.5,PVC,27,France,31400.600000000002
Working Boat,Viking power boats,new boat from stock,2020,7.65,2.48,Aluminium,252,Germany,31350.000000000004
Sport Boat,Bayliner power boats,"Used boat,Diesel",1997,8.69,3.0,GRP,169,Croatia,31350.000000000004
Sport Boat,ManÃ² power boats,"Used boat,Unleaded",2005,9.2,3.0,GRP,81,Italy,31350.000000000004
Deck Boat,Marinello power boats,"Used boat,Unleaded",2012,5.8,2.29,GRP,93,Germany,31350.000000000004
Sport Boat,Cranchi power boats,"Used boat,Unleaded",1992,9.0,3.0,GRP,143,Croatia,31350.000000000004
Cabin Boat,Maxum power boats,"Used boat,Unleaded",1993,7.2,2.5,GRP,286,baden,31350.000000000004
Motor Yacht,Larson power boats,"Used boat,Unleaded",1998,8.83,3.04,GRP,241,Germany,31350.000000000004
Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2018,6.75,2.54,GRP,161,Italy,31900.000000000004
Pontoon Boat,Seaswirl power boats,"Used boat,Diesel",2010,7.0,2.55,GRP,194,Italy,31900.000000000004
Cabin Boat,Bella power boats,"Used boat,Diesel",2005,7.05,2.47,GRP,196,Netherlands,31900.000000000004
Motor Yacht,Princess power boats,"Used boat,Diesel",1979,11.0,3.78,GRP,314,Croatia,31900.000000000004
Sport Boat,Cobalt power boats,"Used boat,Unleaded",2001,6.86,2.59,GRP,119,Italy,31900.000000000004
Cabin Boat,Apreamare power boats,"Used boat,Diesel",1993,8.05,2.85,GRP,205,Italy,31900.000000000004
Sport Boat,Cranchi power boats,"Used boat,Unleaded",2000,7.57,2.59,GRP,64,Italy,31900.000000000004
Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1990,9.2,3.25,GRP,233,Italy,31900.000000000004
Pilothouse,Polar Boats power boats,"Used boat,Diesel",1987,8.77,3.18,GRP,199,Germany,31900.000000000004
Pilothouse,Faeton power boats,"Used boat,Unleaded",2000,7.9,2.8,PVC,87,Spain,31900.000000000004
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2009,7.01,2.5,PVC,393,Belgium,31900.000000000004
Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",1992,7.85,2.47,PVC,100,France,32890.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,6.96,2.55,GRP,851,Donau,32890.0
Cabin Boat,Skarpnes power boats,Used boat,1984,9.1,3.3,GRP,94,Netherlands,32890.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1987,8.23,3.05,GRP,90,Germany,32890.0
Sport Boat,Saver power boats,"Display Model,Unleaded",2019,5.6,2.23,GRP,87,Germany,32780.0
Bowrider,Jeanneau power boats,"Used boat,Unleaded",2018,5.21,2.36,PVC,46,France,32780.0
Sport Boat,Nidelv power boats,"Used boat,Unleaded",2005,6.26,2.3,GRP,622,Germany,32780.0
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.07,2.12,GRP,102,Germany,32615.000000000004
Sport Boat,Ranieri power boats,"Used boat,Unleaded",2018,5.65,2.2,GRP,288,Switzerland,4800.0
Motor Yacht,Regal power boats,"Used boat,Unleaded",1999,8.75,2.85,GRP,382,Denmark,242000.00000000003
Sport Boat,Rancraft power boats,"Used boat,Unleaded",2001,7.5,2.59,GRP,146,Belgium,32450.000000000004
Classic,Storebro power boats,"Used boat,Unleaded",1954,7.5,2.4,Wood,87,Germany,33000.0
Motor Yacht,Blumar power boats,"Used boat,Unleaded",2008,8.01,2.85,GRP,253,Italy,33000.0
Cabin Boat,Crownline power boats,"Used boat,Unleaded",1995,8.13,2.5,GRP,677,Germany,33000.0
"Classic,Sport Boat",Ilver power boats,"Used boat,Unleaded",1978,7.8,2.67,GRP,313,Netherlands,33000.0
Motor Yacht,Blohm + Voss power boats,"Used boat,Unleaded",1970,10.0,3.25,GRP,324,Germany,33000.0
Sport Boat,Arvor power boats,"Used boat,Diesel",2008,7.0,2.0,GRP,87,Croatia,33000.0
Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2001,9.4,2.96,PVC,122,France,33000.0
Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,9.0,3.0,GRP,234,Italy,33000.0
Sport Boat,Slepsk power boats,"Used boat,Electric",2010,5.87,2.32,GRP,144,Austria,33000.0
Pontoon Boat,Acroplast power boats,"Used boat,Electric",2015,7.8,2.5,GRP,137,France,33000.0
Motor Yacht,Wellcraft power boats,"Used boat,Diesel",1991,10.2,3.5,GRP,162,Italy,33000.0
Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,5.5,2.34,PVC,69,France,33990.0
Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1979,10.0,3.5,GRP,167,Germany,33990.0
Bowrider,Parker power boats,"new boat from stock,Unleaded",2019,6.05,2.25,GRP,65,Germany,33907.5
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.07,2.12,GRP,62,Germany,33902.0
Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,6.05,2.25,GRP,71,Germany,33891.0
Cabin Boat,Hollandia power boats,"Used boat,Diesel",1991,10.3,3.3,Steel,576,Switzerland,4950.0
Hardtop,Hardy Marine power boats,"Used boat,Diesel",1996,8.38,3.2,PVC,131,Spain,36393.5
Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.7,2.26,GRP,136,Germany,33768.9
Motor Yacht,Regal power boats,"Used boat,Unleaded",1989,8.5,2.55,GRP,1033,Lake,4950.0
Fishing Boat,FÃ¼llemann power boats,new boat from stock,2018,6.03,1.9,GRP,164,Switzerland,4909.5
Sport Boat,Gobbi power boats,Unleaded,1996,8.73,2.98,GRP,64,Germany,35200.0
Sport Boat,Bayliner power boats,"Used boat,Diesel",1995,7.0,2.59,Carbon Fiber,150,Spain,35200.0
Cabin Boat,Bella power boats,Used boat,2005,6.5,2.42,GRP,535,Switzerland,5175.0
Sport Boat,Bayliner power boats,"Used boat,Unleaded",2000,9.0,2.0,GRP,295,Croatia,35090.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2010,7.23,2.78,PVC,74,France,35090.0
Sport Boat,Cobalt power boats,"Used boat,Unleaded",1999,7.62,2.59,GRP,146,Germany,35090.0
Sport Boat,Larson power boats,"Used boat,Unleaded",2001,6.7,2.5,Plastic,225,Germany,35090.0
Bowrider,Galia power boats,"new boat from stock,Unleaded",2019,5.2,2.1,GRP,166,Switzerland,35013.0
Pilothouse,Jeanneau power boats,"Used boat,Diesel",2002,6.99,2.76,PVC,105,United,37700.0
Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.12,2.4,GRP,158,Switzerland,5151.0
Sport Boat,Ilver power boats,"Used boat,Unleaded",1984,10.8,3.1,GRP,280,Switzerland,5100.0
Trawler,Pedro power boats,Used boat,1982,8.6,2.8,Steel,146,Netherlands,35750.0
Pontoon Boat,Cantieri Nautici Ferrario power boats,"new boat from stock,Unleaded",2019,6.5,2.4,GRP,36,Italy,35750.0
Cabin Boat,Coverline power boats,"Used boat,Diesel",2006,7.6,2.5,GRP,175,Germany,35750.0
Runabout,AYROS power boats,new boat from stock,2019,6.99,2.55,GRP,81,Italy,35750.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1991,9.95,2.74,GRP,396,Germany,35750.0
Sport Boat,Bayliner power boats,"Used boat,Unleaded",2002,8.76,3.0,PVC,212,Netherlands,35750.0
Center console boat,Pacific Craft power boats,"Used boat,Unleaded",2018,6.24,2.5,PVC,36,France,35739.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2007,7.3,2.55,PVC,113,Slovak,36300.0
Flybridge,Fiart Mare power boats,"Used boat,Diesel",1989,11.34,3.68,GRP,139,Italy,36300.0
Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,5.79,2.46,PVC,74,France,36300.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,7.62,2.56,GRP,165,Greece,36300.0
Sport Boat,Antaris power boats,"Used boat,Unleaded",2008,7.0,2.0,GRP,63,Croatia,36300.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2012,7.23,2.78,PVC,101,France,36300.0
Sport Boat,IRON power boats,new boat on order,2020,6.52,2.44,GRP,87,Germany,36300.0
Center console boat,Ranieri power boats,"Used boat,Unleaded",2013,8.05,2.5,PVC,107,France,36300.0
Cabin Boat,Cranchi power boats,"Used boat,Unleaded",2000,9.1,2.9,GRP,118,Italy,36300.0
"Sport Boat,Wakeboard/Wakesurf",MasterCraft power boats,"Used boat,Unleaded",2006,6.1,2.5,Carbon Fiber,596,Poland,36300.0
"Pilothouse,Sport Boat",Arvor power boats,"Used boat,Diesel",2012,7.3,2.78,GRP,267,Stralsund,36300.0
"Cabin Boat,Motor Yacht",Coverline power boats,"Used boat,Diesel",2004,8.39,2.39,GRP,403,Austria,36300.0
Sport Boat,Cranchi power boats,Used boat,2002,8.5,3.0,GRP,187,Italy,36300.0
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2017,5.72,2.4,PVC,75,Spain,37400.0
Deck Boat,Sunchaser power boats,Used boat,2019,6.17,2.5,Aluminium,80,Italy,37400.0
Sport Boat,ST power boats,"Used boat,Unleaded",2012,7.65,2.98,PVC,70,France,37400.0
Cabin Boat,Chaparral power boats,"Used boat,Diesel",1993,9.2,3.0,GRP,166,Germany,37400.0
Cabin Boat,Rinker power boats,"Used boat,Unleaded",2002,7.3,0.9943365695792881,GRP,395,Rostock,37400.0
Cabin Boat,Maxum power boats,"Used boat,Unleaded",2005,7.92,2.59,GRP,284,Germany,37400.0
Sport Boat,Rio power boats,"Used boat,Unleaded",2005,7.9,2.55,GRP,248,Germany,37290.0
Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1997,9.5,3.0,GRP,272,Germany,37290.0
Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2004,8.0,2.0,GRP,244,Croatia,37290.0
Sport Boat,Rinker power boats,"Used boat,Unleaded",2000,8.46,2.76,GRP,249,Germany,37290.0
Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,6.4,2.52,PVC,39,France,38390.0
Sport Boat,Saver power boats,"Used boat,Unleaded",2006,7.5,2.64,PVC,126,Spain,38390.0
Cabin Boat,Cranchi power boats,"Used boat,Unleaded",2002,8.44,2.97,GRP,177,Germany,38390.0
Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,7.45,2.5,GRP,301,Switzerland,38390.0
Pontoon Boat,Faeton power boats,"Used boat,Unleaded",2006,7.49,2.7,GRP,206,Italy,38390.0
Sport Boat,Maxum power boats,"Used boat,Unleaded",1998,9.0,3.0,GRP,158,Croatia,38390.0
Sport Boat,Chaparral power boats,"Used boat,Unleaded",2007,7.0,2.0,PVC,103,Spain,38390.0
Fishing Boat,Osprey power boats,new boat from stock,2000,8.0,2.8,GRP,128,Netherlands,38390.0
Sport Boat,Galeon power boats,"Used boat,Unleaded",2012,6.82,2.51,PVC,93,Netherlands,38390.0
"House Boat,Motor Yacht",Pedro power boats,"Used boat,Diesel",1980,11.7,3.5,Steel,353,Italy,38390.0
Pilothouse,Jeanneau power boats,new boat from stock,2019,6.4,2.45,GRP,220,Switzerland,38310.8
Pontoon Boat,Saver power boats,"Display Model,Unleaded",2020,7.75,2.55,GRP,295,Italy,38280.0
Sport Boat,Crownline power boats,"Used boat,Diesel",1999,7.0,2.6,GRP,172,Germany,38280.0
Bowrider,Sea Ray power boats,"Used boat,Unleaded",2004,7.92,2.44,GRP,162,Spain,38500.0
Sport Boat,Crownline power boats,Used boat,2009,6.83,2.59,GRP,160,Italy,38500.0
Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,6.23,2.52,PVC,42,France,38500.0
Motor Yacht,Sea Ray power boats,Used boat,1990,9.3,3.2,GRP,158,Germany,38500.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1987,6.15,2.0,GRP,51,Turkey,38500.0
Pilothouse,Jeanneau power boats,"Used boat,Diesel",2004,8.25,2.94,PVC,85,France,38500.0
Pilothouse,Ocqueteau power boats,"Used boat,Diesel",2003,8.35,2.95,PVC,69,France,38500.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2005,7.6,2.75,PVC,38,France,38500.0
Sport Boat,Cruisers Yachts power boats,"Used boat,Unleaded",1994,9.7,3.2,GRP,128,Germany,38500.0
Fishing Boat,San Remo power boats,"Used boat,Unleaded",2017,6.35,2.5,GRP,92,Portugal,38500.0
Cabin Boat,Cranchi power boats,"Used boat,Unleaded",1996,9.69,3.07,GRP,199,Italy,38500.0
Motor Yacht,Four Winns power boats,"Used boat,Unleaded",1992,9.95,3.15,GRP,172,Netherlands,38500.0
Motor Yacht,Gillissen power boats,Used boat,1968,9.7,3.3,Steel,49,Netherlands,38500.0
Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.2,2.34,GRP,48,Germany,39048.9
Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.94,2.4,GRP,40,Germany,38995.0
Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.56,2.26,PVC,27,France,38960.9
Sport Boat,Gropp power boats,"new boat from stock,Unleaded",2020,6.9,1.78,Aluminium,106,Switzerland,38940.0
Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,5.7,2.26,GRP,131,Germany,38775.0
Pilothouse,Quicksilver power boats,"Used boat,Unleaded",2016,5.75,2.54,PVC,114,France,38720.0
Pilothouse,Quicksilver power boats,Used boat,2016,5.75,2.54,PVC,93,France,38720.0
Motor Yacht,Tullio Abbate power boats,"Used boat,Unleaded",1998,11.5,2.85,GRP,355,Switzerland,5700.0
Deck Boat,Harris FloteBote power boats,"Used boat,Unleaded",2007,7.3,2.59,Aluminium,325,Switzerland,5700.0
Sport Boat,Rinker power boats,"Used boat,Unleaded",2002,7.16,2.59,GRP,486,Switzerland,5700.0
Runabout,Boesch power boats,"Used boat,Unleaded",1992,5.3,2.14,Wood,320,Switzerland,5700.0
